AATS3s,AATS3m,MATS2dv,GATS1c,SIC3,BDE,T,log10(k)
1.6875,15.51457956,-0.393939394,1.262314605,0.5,84.3436191,1525.0,-10.348141264686156
1.6875,15.51457956,-0.393939394,1.262314605,0.5,84.3436191,1530.0,-10.3441019624815
1.6875,15.51457956,-0.393939394,1.262314605,0.5,84.3436191,1535.0,-10.340079659574394
1.6875,15.51457956,-0.393939394,1.262314605,0.5,84.3436191,1540.0,-10.336074220632097
1.6875,15.51457956,-0.393939394,1.262314605,0.5,84.3436191,1545.0,-10.332085511877988
1.6875,15.51457956,-0.393939394,1.262314605,0.5,84.3436191,1550.0,-10.328113401068354
1.6875,15.51457956,-0.393939394,1.262314605,0.5,84.3436191,1555.0,-10.324157757469624
1.6875,15.51457956,-0.393939394,1.262314605,0.5,84.3436191,1560.0,-10.320218451835991
1.6875,15.51457956,-0.393939394,1.262314605,0.5,84.3436191,1565.0,-10.316295356387458
1.6875,15.51457956,-0.393939394,1.262314605,0.5,84.3436191,1570.0,-10.312388344788268
1.6875,15.51457956,-0.393939394,1.262314605,0.5,84.3436191,1575.0,-10.308497292125725
1.6875,15.51457956,-0.393939394,1.262314605,0.5,84.3436191,1580.0,-10.304622074889409
1.6875,15.51457956,-0.393939394,1.262314605,0.5,84.3436191,1585.0,-10.300762570950738
1.6875,15.51457956,-0.393939394,1.262314605,0.5,84.3436191,1590.0,-10.296918659542914
1.6875,15.51457956,-0.393939394,1.262314605,0.5,84.3436191,1595.0,-10.293090221241222
1.6875,15.51457956,-0.393939394,1.262314605,0.5,84.3436191,1600.0,-10.289277137943664
1.6875,15.51457956,-0.393939394,1.262314605,0.5,84.3436191,1605.0,-10.285479292851957
1.6875,15.51457956,-0.393939394,1.262314605,0.5,84.3436191,1610.0,-10.28169657045285
1.6875,15.51457956,-0.393939394,1.262314605,0.5,84.3436191,1615.0,-10.277928856499766
1.6875,15.51457956,-0.393939394,1.262314605,0.5,84.3436191,1620.0,-10.274176037994785
1.6875,15.51457956,-0.393939394,1.262314605,0.5,84.3436191,1625.0,-10.270438003170913
1.6875,15.51457956,-0.393939394,1.262314605,0.5,84.3436191,1630.0,-10.266714641474683
1.6875,15.51457956,-0.393939394,1.262314605,0.5,84.3436191,1635.0,-10.263005843549045
1.6875,15.51457956,-0.393939394,1.262314605,0.5,84.3436191,1640.0,-10.25931150121655
1.6875,15.51457956,-0.393939394,1.262314605,0.5,84.3436191,1645.0,-10.255631507462837
1.6875,15.51457956,-0.393939394,1.262314605,0.5,84.3436191,1650.0,-10.251965756420383
1.6875,15.51457956,-0.393939394,1.262314605,0.5,84.3436191,1655.0,-10.248314143352546
1.6875,15.51457956,-0.393939394,1.262314605,0.5,84.3436191,1660.0,-10.244676564637881
1.6875,15.51457956,-0.393939394,1.262314605,0.5,84.3436191,1665.0,-10.241052917754708
